Membership No  Date Joined  Active  
    88455      2016-4-4     no    
    65765      2018-8-12    no    
    73098      2016-3-11    no    
    33211      2020-4-5     no    
    14302      2016-5-10    no    
    12069      2019-12-4    no    
    49524      2020-5-2     no    
    43300      2015-3-7     no    
    52127      2016-4-18    no    
    65660      2015-9-19    no    
    37854      2016-7-23    no    
    47368      2020-10-14   no    
    31993      2018-2-13    no    
    71996      2016-6-17    no    
    68798      2019-11-12   no    
