Membership No  Date Joined  Active  
    25899      2017-9-8     yes   
    19923      2017-4-12    yes   
    45481      2018-1-16    yes   
    45346      2015-5-13    yes   
    72005      2018-1-17    yes   
    28341      2015-12-23   yes   
    34605      2017-5-8     yes   
    50792      2016-12-18   yes   
    40584      2018-10-6    yes   
    78922      2016-7-25    yes   
    20282      2019-8-6     yes   
    20293      2018-4-18    yes   
    18033      2019-3-3     yes   
    49256      2019-12-21   yes   
